Cell line,Gene cluster,Cell Line Name,ER,PR,HER2,TP53 allele 1 ,TP53 allele 2,Source,Tumor type,Age (years),Ethnicity,Culture media,Culture conditions
1,600MPE,600MPE,Lu,+,[−],,−,,IDC,,,"DMEM, 10% FBS","37°C, 5% CO2"
2,AU565a,AU565,Lu,−,[−],+,+WT,PE,AC,43,W,"RPMI, 10% FBS","37°C, 5% CO2"
3,BT20,BT20,BaA,−,[−],,++WT,P.Br,IDC,74,W,"DMEM, 10% FBS","37°C, 5% CO2"
4,BT474,BT474,Lu,+,[+],+,+,P.Br,IDC,60,W,"RPMI, 10% FBS","37°C, 5% CO2"
5,BT483,BT483,Lu,+,[+],,−,P.Br,"IDC, pap",23,W,"RPMI, 10% FBS","37°C, 5% CO2"
6,BT549,BT549,BaB,−,[−],,++M,P.Br,"IDC, pap",72,W,"RPMI, 10% FBS","37°C, 5% CO2"
7,CAMA1,CAMA1,Lu,+,[−],,+,PE,AC,51,W,"DMEM, 10% FBS","37°C, 5% CO2"
8,HBL100,HBL100,BaB,−,[−],,++,P.Br,N,27,,"DMEM, 10% FBS","37°C, 5% CO2"
9,HCC1007d,HCC1007,Lu,+,[−],,[+/−],P.Br,Duc.Ca,67,B,"RPMI, 10% FBS","37°C, 5% CO2"
10,HCC1143d,HCC1143,BaA,−,[−],,++M,P.Br,Duc.Ca,52,W,"RPMI, 10% FBS","37°C, 5% CO2"
11,HCC1187d,HCC1187,BaA,−,[−],,++M,P.Br,Duc.Ca,41,W,"RPMI, 10% FBS","37°C, 5% CO2"
12,HCC1428d,HCC1428,Lu,+,[+],,[+],PE,AC,49,W,"RPMI, 10% FBS","37°C, 5% CO2"
13,HCC1500d,HCC1500,BaB,−,[−],,−,P.Br,Duc.Ca,32,B,"RPMI, 10% FBS","37°C, 5% CO2"
14,HCC1569d,HCC1569,BaA,−,[−],+,−M,P.Br,MC,70,B,"RPMI, 10% FBS","37°C, 5% CO2"
