Cell line	Cetuximab (EGFR)			Trastuzumab (ERBB2)			PS-1145 (IKK)			Baicalein (CYP2C9)			GW5074 (RAF1)			IKK 16 (IKK2)			Imatinib (BCR-ABL)			QNZ (NFkB)			FR180304 (ERK)			Everolimus (mTOR)			B581 (FTPase)			MG-132 (Proteasome)			Nilontinib (BCR-ABL)			Olomoucine II (CDK1)			PD184352 (MEK)			TCS PIM-11 (PIM1)			Valproate (HDAC)			Nelfinavir (Protease)			Disulfiram (ALDH2)			Mebendazole (Tubulin)			Chloroquine (Autophagy)			Bromopyruvate (Glycolysis)			Methylglyoxol (Pyruvate)			MG-132b (Proteasome)			MG-115 (Proteasome)			4-HC (DNA alkylator)			4-HC+Dox (Combination)			Doxorubicin (TOP2A)		
	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom	GI50	replicates	SD.geom
184A1	7.216382235	2	1.487830996	5.573488739	1	NA	2.723538196	2	0	3.777283529	1	NA	5.694648631	1	NA	6.045757491	1	NA	4.860120914	1	NA	4.477555766	1	NA	4.605548319	1	NA	6.164943898	1	NA	4.175874166	1	NA	7.725842151	1	NA	3.698970004	1	NA	5.496209317	1	NA	5.116338565	1	NA	5.156767222	1	NA	3.004803708	1	NA	5.476253533	1	NA	4.899629455	1	NA	4.175874166	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
184B5	7.609064893	1	NA	5.142667504	1	NA	2.723538196	2	0	3.777283529	1	NA	5.521433504	1	NA	5.826813732	1	NA	4.625434939	2	0.042575512	7.462180905	1	NA	4.88941029	1	NA	5.549750892	1	NA	4.175874166	1	NA	7.785156152	1	NA	3.698970004	1	NA	5.528708289	1	NA	5.519993057	1	NA	5.610833916	1	NA	3.070581074	1	NA	5.329754147	1	NA	4.931814138	1	NA	4.175874166	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21MT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.866461092	1	NA	4.175874166	1	NA	4.742321425	1	NA	NA	NA	NA	NA	NA	NA	3.074172425	1	NA	7.001479117	2	0.032215703	6.429690615	2	0.172018809	4.607303047	1	NA	4.690369833	1	NA	6.614393726	1	NA
21NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.568636236	1	NA	4.718966633	1	NA	6.075720714	1	NA	NA	NA	NA	NA	NA	NA	3.271646218	1	NA	7.018815863	2	0.038620162	6.587035728	2	0.110926242	5.202940305	2	0.393926007	5.108518296	2	0.195068996	6.741123371	2	0.001733713
600MPE	6.164309429	2	0	NA	NA	NA	2.723538196	2	0	3.777283529	2	0	4.477555766	1	NA	5.110698297	1	NA	4.622511617	2	0.009025742	4.477555766	1	NA	4.649751982	1	NA	4.701146924	1	NA	4.477555766	1	NA	6.301029996	1	NA	3.698970004	1	NA	5.227678293	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.515700161	1	NA	5.051098239	1	NA	7.095825632	1	NA	5.002176919	1	NA	7.91721463	1	NA	7.49757288	1	NA	3.216096421	1	NA	6.30980392	1	NA	5.886056648	1	NA	4.488116639	1	NA	4.583359493	1	NA	6.663540266	1	NA
BT20	6.164309429	1	NA	5.142667504	1	NA	2.723538196	2	0	4.052566278	3	0.320146286	NA	NA	NA	5.423889106	2	0.048830087	4.886056648	3	0.236537261	4.477555766	1	NA	4.552841969	1	NA	NA	NA	NA	4.477555766	2	0	6.372941536	2	0.047664195	4.212397854	2	0.72607487	5.433209088	2	0.059184618	4.175874166	1	NA	3.876148359	2	0	2.44379402	2	0.035029282	5.159893906	1	NA	7.301029996	1	NA	6.190440285	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.277283833	2	0.714497409	6.517126416	1	NA	4.328827157	1	NA	4.4710833	1	NA	6.480172006	1	NA
BT474	6.164309429	3	0	NA	NA	NA	2.723538196	2	0	4.303643611	1	NA	4.477555766	1	NA	5.266802735	1	NA	4.520280765	2	0.024485668	7.519993057	1	NA	4.68613278	3	0.068927612	7.517126416	3	0.729569726	4.175874166	1	NA	6.749579998	3	0.139564266	3.698970004	3	0	5.202040356	3	0.130655349	4.477555766	3	0	3.876148359	3	0	3.026410377	3	0.082066934	4.896196279	1	NA	4.175874166	1	NA	6.504455662	1	NA	4.946921557	1	NA	7.099086932	1	NA	3.320572103	1	NA	6.360015752	2	0.06595298	6.215739417	2	0.597585502	4.894149326	2	0.172310969	4.656591406	2	0.236537261	6.798602876	1	NA
BT483	6.164309429	2	0	5.142667504	1	NA	2.723538196	1	NA	4.438898616	1	NA	NA	NA	NA	NA	NA	NA	4.386158178	1	NA	NA	NA	NA	4.450996738	1	NA	5.54668166	1	NA	4.477555766	2	0	6.811352704	2	0.017867719	4.073143291	2	0.529173603	5.237321436	1	NA	4.175874166	1	NA	3.876148359	1	NA	3.013407393	2	0.017033339	5.005682847	1	NA	4.178486472	1	NA	5.665546249	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BT549	6.164309429	4	0	5.142667504	1	NA	2.723538196	2	0	4.638272164	1	NA	4.477555766	1	NA	5.400116928	1	NA	4.450628848	2	0.018284308	4.477555766	1	NA	4	1	NA	6.879426069	1	NA	4.175874166	1	NA	7.037630664	1	NA	3.698970004	1	NA	5.663540266	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.571865206	1	NA	4.987162775	1	NA	6.89279003	1	NA	6.304518324	1	NA	NA	NA	NA	NA	NA	NA	4.169411331	1	NA	6.919373513	2	0.028164419	6.467245621	3	0.148294097	NA	NA	NA	NA	NA	NA	NA	NA	NA
