Cell line	4-HC (DNA alkylator)	4-HC+Dox (Combination)	Baicalein (CYP2C9)	Bromopyruvate (Glycolysis)	Cetuximab (EGFR)	Chloroquine (Autophagy)	Disulfiram (ALDH2)	Doxorubicin (TOP2A)	FR180304 (ERK)	Everolimus (mTOR)	B581 (FTPase)	GW5074 (RAF1)	Trastuzumab (ERBB2)	IKK 16 (IKK2)	Imatinib (BCR-ABL)	Mebendazole (Tubulin)	Methylglyoxol (Pyruvate)	MG-132 (Proteasome)	Nelfinavir (Protease)	Nilontinib (BCR-ABL)	Olomoucine II (CDK1)	PD184352 (MEK)	PS-1145 (IKK)	QNZ (NFkB)	TCS PIM-11 (PIM1)	Valproate (HDAC)	MG-132b (Proteasome)	MG-115 (Proteasome)
HCC1954	2	2	3	NA	3	NA	3	2	3	NA	2	NA	3	1	1	1	NA	NA	2	3	3	2	3	NA	2	3	2	2
AU565	1	1	2	NA	3	NA	1	2	3	NA	2	3	3	2	2	1	2	1	3	3	2	3	3	3	2	2	2	2
HCC1937	1	2	2	NA	3	NA	1	3	3	2	2	3	NA	2	2	3	2	2	1	3	2	3	3	NA	3	3	1	2
CAMA1	2	2	2	2	3	3	2	3	3	1	2	NA	3	2	2	2	3	2	1	3	2	3	3	NA	3	2	2	2
T47DKBLUC	1	1	3	1	NA	NA	1	2	3	3	2	NA	NA	3	2	3	3	2	3	3	NA	3	3	NA	3	2	2	3
UACC812	1	2	2	2	3	NA	1	3	2	1	2	NA	2	3	1	3	3	2	3	3	2	3	3	NA	3	3	2	3
HCC1569	3	3	2	1	3	NA	3	3	3	3	2	NA	3	2	2	3	3	2	3	3	2	3	3	NA	2	2	2	2
MCF12A	1	1	1	1	3	3	2	2	3	3	2	3	3	3	3	2	2	1	3	3	2	2	3	3	2	2	1	1
HCC1187	NA	NA	1	NA	3	NA	1	NA	1	NA	2	NA	NA	3	2	3	1	1	2	3	2	3	3	NA	2	2	NA	NA
HCC38	1	1	1	2	3	3	2	2	3	2	2	NA	3	2	3	2	NA	3	2	2	1	3	3	1	2	1	2	2
SUM229PE	3	3	2	1	3	3	3	3	3	3	2	NA	NA	1	1	2	2	1	2	3	3	1	3	NA	2	3	2	2
ZR751	1	1	2	1	3	3	NA	2	1	1	2	3	NA	3	3	1	NA	3	2	3	2	3	3	1	2	2	2	3
BT483	NA	NA	2	1	3	NA	3	NA	3	2	2	NA	3	NA	3	2	NA	2	2	2	2	3	3	NA	3	1	NA	NA
T47D	1	1	1	NA	3	NA	1	2	3	2	2	NA	NA	2	2	2	3	1	2	3	2	3	3	NA	2	3	2	2
ZR7530	3	3	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BT549	NA	NA	1	NA	3	NA	1	NA	3	1	2	3	3	2	3	2	1	1	2	3	1	3	3	3	3	3	1	2
MDAMB231	2	1	1	2	3	3	2	2	NA	3	2	NA	3	2	2	2	3	3	2	3	2	3	3	3	3	3	NA	3
MDAMB453	1	1	3	2	3	2	1	3	3	1	2	3	2	2	1	1	3	3	1	3	2	3	3	NA	3	1	2	2
MCF10F	3	3	3	NA	3	NA	3	3	3	2	2	NA	3	3	2	3	2	1	2	3	3	3	3	NA	3	3	1	1
MDAMB157	1	1	2	1	3	2	1	2	3	3	2	3	NA	1	2	2	2	2	1	3	2	NA	3	3	3	2	1	2
HCC1428	1	2	2	NA	3	NA	2	3	2	3	2	NA	3	2	2	3	3	3	1	3	2	3	3	1	2	1	2	2
MDAMB134VI	3	3	2	3	3	3	2	3	3	1	2	NA	3	3	3	NA	3	2	1	3	2	3	3	NA	3	1	NA	NA
BT20	3	3	2	NA	3	NA	1	3	2	NA	2	NA	3	2	1	2	NA	3	1	1	1	3	3	3	3	3	1	1
HCC1419	NA	NA	2	3	3	3	3	NA	1	1	2	1	2	3	2	3	3	2	1	3	2	3	3	1	2	1	NA	NA
MDAMB361	NA	NA	3	3	3	3	1	NA	1	1	2	3	NA	3	3	2	3	2	2	3	3	3	3	3	3	2	NA	1
HCC202	2	2	2	NA	3	NA	2	3	NA	NA	NA	NA	1	3	1	1	NA	NA	1	NA	NA	NA	3	NA	NA	NA	1	1
MDAMB415	2	2	3	1	3	3	2	3	3	1	2	NA	3	NA	2	2	NA	1	1	3	2	3	3	NA	3	1	3	3
MCF7	2	2	2	3	3	3	3	3	3	2	2	3	3	NA	2	2	3	3	2	3	2	3	3	2	3	3	1	3
MDAMB175VII	1	1	3	NA	3	NA	1	2	1	3	2	NA	NA	NA	1	1	3	2	1	3	2	3	2	NA	3	1	2	2
HCC1395	3	3	1	NA	3	NA	3	3	2	3	2	3	3	1	2	2	3	2	3	3	1	3	3	1	3	3	2	NA
HCC1143	2	2	2	NA	3	NA	1	3	1	2	2	3	3	3	3	2	2	2	1	3	1	3	3	3	3	3	2	2
HCC70	1	1	2	NA	3	NA	3	2	2	1	2	3	NA	2	2	1	3	1	2	3	1	2	3	1	2	1	1	1
BT474	2	3	2	2	3	3	3	3	1	1	2	3	NA	3	3	2	2	2	2	3	2	3	3	1	3	1	2	2
HCC1806	2	2	1	2	3	3	NA	2	NA	3	2	3	3	1	1	2	1	3	1	3	3	3	3	3	3	3	2	3
HS578T	2	2	2	3	3	3	2	3	3	NA	2	NA	NA	2	3	2	2	2	1	3	2	3	3	NA	2	3	2	2
184A1	NA	NA	3	NA	2	NA	2	NA	1	2	2	2	2	1	1	3	NA	1	1	3	1	2	3	3	1	1	NA	NA
184B5	NA	NA	3	NA	1	NA	2	NA	1	2	2	2	3	1	2	3	NA	1	1	3	1	1	3	1	1	1	NA	NA
21MT1	3	3	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	3	3	NA	2	NA	NA	NA	NA	NA	NA	NA	1	2
21NT	1	1	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	2	2	NA	3	NA	NA	NA	NA	NA	NA	NA	1	1
600MPE	3	3	3	1	3	1	1	3	1	3	2	3	NA	3	2	3	2	3	1	3	2	3	3	3	3	3	2	3
HCC2185	NA	NA	2	NA	3	NA	NA	NA	3	1	2	2	2	3	2	NA	NA	2	NA	3	3	3	3	1	2	2	NA	NA
HCC3153	2	2	1	NA	3	NA	2	3	3	3	2	3	NA	2	3	1	2	2	1	3	1	3	3	2	3	3	1	2
LY2	3	3	2	3	3	3	2	3	NA	1	NA	NA	3	3	2	2	NA	3	1	3	1	3	3	NA	3	1	2	3
MCF10A	1	1	1	1	3	NA	2	2	3	2	2	3	3	2	3	3	2	1	2	3	1	1	3	3	2	1	1	1
MX1	1	1	1	1	NA	3	3	3	3	3	2	NA	NA	NA	2	2	2	2	1	3	2	2	3	NA	2	1	2	3
SKBR3	2	2	3	NA	3	NA	1	2	3	1	2	3	2	2	2	2	3	3	1	3	3	3	3	2	3	1	2	3
SUM1315MO2	1	1	1	NA	2	NA	NA	2	1	3	2	NA	NA	1	2	NA	2	2	NA	3	1	2	3	NA	2	3	1	1
SUM149PT	1	1	2	NA	2	NA	NA	3	1	3	1	3	NA	1	2	2	1	2	2	3	2	2	3	3	2	2	3	3
SUM159PT	NA	NA	3	NA	3	NA	1	NA	3	2	1	3	NA	1	2	1	NA	1	2	3	2	1	NA	3	2	1	1	1
SUM185PE	NA	NA	NA	1	3	3	3	NA	3	2	NA	NA	3	NA	1	2	3	1	1	NA	1	NA	3	NA	2	2	NA	NA
SUM225CWN	NA	NA	2	NA	NA	NA	NA	NA	1	1	2	NA	NA	2	1	NA	NA	1	NA	3	2	3	3	NA	2	2	NA	NA
SUM52PE	2	2	2	NA	3	NA	3	3	3	1	1	NA	NA	1	2	1	1	1	2	1	2	3	1	NA	2	1	1	2
ZR75B	2	2	2	NA	3	NA	NA	2	2	NA	2	NA	3	NA	2	1	3	3	1	3	2	3	3	NA	3	2	3	3
