,4-HC (DNA alkylator),4-HC+Dox (Combination),B581 (FTPase),Baicalein (CYP2C9),Bromopyruvate (Glycolysis),Cetuximab (EGFR),Chloroquine (Autophagy),Disulfiram (ALDH2),Doxorubicin (TOP2A),Everolimus (mTOR),FR180304 (ERK),GW5074 (RAF1),IKK 16 (IKK2),Imatinib (BCR-ABL),Mebendazole (Tubulin),Methylglyoxol (Pyruvate),MG-115 (Proteasome),MG-132 (Proteasome),MG-132b (Proteasome),Nelfinavir (Protease),Nilontinib (BCR-ABL),Olomoucine II (CDK1),PD184352 (MEK),PS-1145 (IKK),QNZ (NFkB),TCS PIM-11 (PIM1),Trastuzumab (ERBB2),Valproate (HDAC)
AU565,5.330683119433888,5.230622673923862,,4.462180904926726,,,,6.835647144215563,7.278189384787454,,,,5.583359492661719,4.667561540084395,6.958607314841775,3.6363880201078556,6.47755576649368,7.054531414868181,6.6020599913279625,,,5.33161408331,,,4.882728704344236,,,2.85078088734462
BT20,4.328827157284917,4.471083299722345,,4.4156687756324695,,,,7.301029995663981,6.480172006224281,,4.552841968657781,,5.458420756053419,4.886056647693163,6.1904402853647325,,6.517126416391246,6.406713932979542,6.772113295386326,5.1598939055432425,,5.391473966422806,,,,0.9706162223147904,,2.4190750243243806
BT474,4.772113295386326,4.823908740944319,,4.303643611266668,7.099086932262331,,4.94692155651658,3.96657624451305,6.798602875679548,8.586700235918748,4.798602875679548,,5.266802734893431,4.503070351926785,6.504455662453552,3.3205721033878812,6.638272163982407,6.600326278518962,6.406713932979542,4.896196279044043,,5.2020403562628035,,,7.519993057042849,,,2.978810700930062
BT549,7.24184537803261,,4.006123085058789,4.638272163982407,7.987162775294828,,,6.892790030352131,7.560667306169737,6.87942606879415,,,5.400116927926312,4.437707135543525,6.304518323509803,4.169411331314856,6.645891560852599,7.037630664329979,6.939302159646388,4.987162775294828,,5.663540266151471,,,,,,2.571865205971211
CAMA1,4.716698771296451,4.85078088734462,,4.338187314462739,6.982966660701219,,4.903089986991944,4.85078088734462,6.94692155651658,8.1518108830086,,,5.567030709125595,4.767003889607846,6.325138859262188,2.696803942579511,6.35261702988538,6.730487055782084,6.554395796726403,5.370590400897281,,5.542118103266008,,,,,,2.8827287043442356
HCC1806,4.6252516539898965,4.91721462968355,,4.448550002027125,6.966576244513051,,5.219682687859849,,7.076755981369724,4.605548319173784,,,5.987162775294828,5.153662887870195,6.496209316942819,4.293282217663242,5.872895201635193,6.501689446210399,,5.111259039317107,,5.057991946977687,,,,,,2.575118363368933
HCC3153,4.749579997691106,4.8326826652518236,,4.785156151952302,7.705533773838407,,,,6.954677021213342,4.847711655616943,,,5.481486060122113,4.527243550682788,6.1778319206319825,3.769551078621726,6.301029995663981,6.686132779630847,6.8326826652518236,5.1605219526258015,,5.508638306165727,,,6.3819519032879075,,,2.5590909179347823
LY2,4.343901797987168,4.0101054362812265,,4.519993057042849,6.655607726314889,,5.090979145788844,5.008330992620052,6.462180904926726,7.517126416391246,3.0213630516155257,,5.2636034977233574,4.913640169325252,6.315154638355588,,5.614393726401688,6.432973633840939,6.148130399270234,5.055024091587952,,5.623423042943488,,4.078833949362261,,,,2.679853713888946
MCF7,4.437707135543525,4.583359492661719,,4.301029995663981,6.485452247339714,,5.071604147743286,4.452225294612178,6.958607314841775,6.46344155742847,,,,4.906578314837765,6.2168113089247425,2.962573502059376,5.7544873321858505,6.471083299722345,6.386158178123931,4.804100347590766,,5.229884705212898,,,6.485452247339714,,,2.642065152999546
MDAMB453,5.406713932979542,5.411168274405793,,,7.070070439915412,,5.756961951313706,,6.847711655616943,7.58838029403677,3.3565473235138126,4.300162274132754,5.58838029403677,4.7121982700697735,6.943095148663527,2.9871627752948275,6.2580609222708015,6.407823242604133,6.671620396561262,5.075204004202088,,5.3124710387853655,4.441291429466834,,,,,3.1469104701481343
